0,1
わがこにはめがない,wagakonihamegan.ai
のなかのひとりうたい,nonakanohitoriut.ai
いっしょうはかぜしだい,sshouhakazeshid.ai
ねこのてもかりたい,nekonotemokarit.ai
てもあしもでない,temoashimoden.ai
もっけのさいわい,mokkenosaiw.ai
みるときくとはおおちがい,mirutokikutohaoochig.ai
あいてのないけんかはできない,tenonaikenkahadekin.ai
ふうじゅのたん,fuujunot.an
げすのあとじあん,gesunoatoji.an
わがすきをひとにふるまう,wagasukiwohitonifurum.au
すりこぎでじゅうばこあらう,surikogidejuubakoar.au
しげんはみみにさからう,shigenhamiminisakar.au
えいすいにみみをあらう,eisuinimimiwoar.au
けいえいあいとむらう,keieiaitomur.au
ちでちをあらう,chidechiwoar.au
うしはうしづれうまはうまづれ,shihaushizureumahaum.azure
おしうるはまなぶのなかば,oshiuruhamanabunonak.ba
いちふじにたかさんなすび,chifujinitakasannasu.bi
かねのひかりはあみだほど,kanenohikarihaamidah.do
しらぬかおのはんべえ,shiranukaonohanb.ee
てのないしょうぎはまけしょうぎ,tenonaishougihamakeshou.gi
こめをかぞえてかしぐ,komewokazoetekashi.gu
あきやのせっちん,akiyanosetch.in
あさめしまえのおちゃづけ,asameshimaenoochazu.ke
めひきそでひき,mehikisodeh.ki
ふざんのゆめ,fuzannoyu.me
ゆめはさかゆめ,yumehasakayu.me
おおかみにころも,kaminikor.mo
えがたきはとき、あいがたきはとも,egatakihatoki、aigatakihat.mo
つりあわぬはふえんのもと,suriawanuhafuenn.moto
つめのあかをせんじてのむ,tsumenoakawosenjiteno.mu
せいだくあわせのむ,seidakuawaseno.mu
どうきあいもとむ,doukiaimoto.mu
みみをおおうてかねをぬすむ,imiwoooutekanewonus.mu
ほらがとうげをきめこむ,horagatougewokimeko.mu
もんぜんのこぞうならわぬきょうをよむ,onzennokozounarawanukyouwoyo.mu
きゅうそねこをかむ,kyuusonekowoka.mu
たおれてのちやむ,taoretenochiya.mu
りょうてにはな,ryoutenih.na
ゆうれいのしょうたいみたりかれおばな,yuureinoshoutaimitarikareob.na
みぬがはな,minugah.na
やせうでにもほね,yaseudenimoho.ne
ちょうちんにつりがね,chouchinnitsuriga.ne
おおおとこそうみにちえがまわりかね,oootokosouminichiegamawarika.ne
とうろうのおの,tourou.no
えんはいなものあじなもの,enhainamonoajinam.no
すがたはつくりもの,sugatahatsukurim.no
のうがきほどくすりはきかぬ,ougakihodokusurihakika.nu
そでのしたにまわるこはうたれぬ,sodenoshitanimawarukohautare.nu
うたぬかねはならぬ,tanukanehanara.nu
にのくがつげぬ,inokugatsuge.nu
ころがるいしにはこけははえぬ,korogaruishinihakokehahae.nu
わらせんぼんあってもはしらにはならぬ,warasenbonattemohashiranihanara.nu
やせうでにもほね,yaseudenimoh.one
やせうしもかずたかれ,yaseushimokazutaka.re
くじのたおれ,kujinotao.re
うしはうしづれうまはうまづれ,ushihaushizureumahaumazu.re
おやおもうこころにまさるおやごころ,yaomoukokoronimasaruoyagok.ro
わからぬはなつのひよりとひとごころ,wakaranuhanatsunohiyoritohitogok.ro
りがひになる,igahinina.ru
たのむきのもとにあめもる,tanomukinomotoniamemo.ru
うえにはうえがある,enihauegaa.ru
ふんべつすぐればぐにかえる,funbetsusugurebagunikae.ru
さけかってしりきられる,sakekatteshirikirare.ru
あたまおさえりゃしりゃあがる,atamaosaeryashiryaaga.ru
めしをくってすぐよこになるとうしになる,meshiwokuttesuguyokoninarutoushinina.ru
すもうにかってしょうぶにまける,sumounikatteshoubunimake.ru
みこしをあげる,mikoshiwoage.ru
うしろゆびをさされる,shiroyubiwosasare.ru
よくのくまたか またさくる,yokunokumataka matasak.ru
とうみょうでしりをあぶる,toumyoudeshiriwoab.ru
ぬかみそがくさる,nukamisogakusa.ru
ないてばしょくをきる,naitebashokuwoki.ru
あいおおければにくしみいたる,aiookerebanikushimiita.ru
いしばしをたたいてわたる,ishibashiwotataitewata.ru
だいきちはきょうにかえる,daikichihakyounikae.ru
めからうろこがおちる,mekaraurokogaochi.ru
りゅういんがさがる,yuuingasaga.ru
ねこをころせばななだいたたる,nekowokorosebananadaitata.ru
てきにしおをおくる,tekinishiowook.ru
のこりものにふくがある,nokorimononifukugaa.ru
うしろがみをひかれる,shirogamiwohikare.ru
ねこもまたいでとおる,nekomomataidetoo.ru
たたけばほこりがでる,tatakebahokorigade.ru
はくしゃをかける,hakushawokake.ru
こえなきにきき、かたちなきにみる,koenakinikiki、katachinakinimi.ru
さくしさくにおぼれる,sakushisakuniobore.ru
